,Name,Evolution,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Species,Height,Weight,abilities,ev_yield,catch_rate,base_friendship,base_experience,growth_rate,eggs_groups,gender_rate,eggs_cycles_rate
20,Pidgey, ,Normal Flying,251,40,45,40,35,35,56,Tiny Bird Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),50,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
21,Pidgeotto, ,Normal Flying,349,63,60,55,50,50,71,Bird Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),122,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
22,Pidgeot, ,Normal Flying,479,83,80,75,70,70,101,Bird Pokémon,1.5 m (4′11″),39.5 kg (87.1 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),216,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
23,Pidgeot,Mega Pidgeot,Normal Flying,579,83,80,80,135,80,121,Bird Pokémon,1.5 m (4′11″),39.5 kg (87.1 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),216,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
24,Rattata, ,Normal ,253,30,56,35,25,35,72,Mouse Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs),1. Run Away2. GutsHustle (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),51,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
25,Rattata,Alolan Rattata,Dark Normal,253,30,56,35,25,35,72,Mouse Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs),1. Run Away2. GutsHustle (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),51,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
26,Raticate, ,Normal ,413,55,81,60,50,70,97,Mouse Pokémon,0.7 m (2′04″),18.5 kg (40.8 lbs),1. Run Away2. GutsHustle (hidden ability),2 Speed,"127 (16.6% with PokéBall, full HP)",50 (normal),145,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
27,Raticate,Alolan Raticate,Dark Normal,413,75,71,70,40,80,77,Mouse Pokémon,0.7 m (2′04″),18.5 kg (40.8 lbs),1. Run Away2. GutsHustle (hidden ability),2 Speed,"127 (16.6% with PokéBall, full HP)",50 (normal),145,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
28,Spearow, ,Normal Flying,262,40,60,30,31,31,70,Tiny Bird Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),1. Keen EyeSniper (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),52,Medium Fast,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
29,Fearow, ,Normal Flying,442,65,90,65,61,61,100,Beak Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),1. Keen EyeSniper (hidden ability),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),155,Medium Fast,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
30,Ekans, ,Poison ,288,35,60,44,40,54,55,Snake Pokémon,2.0 m (6′07″),6.9 kg (15.2 lbs),1. Intimidate2. Shed SkinUnnerve (hidden ability),1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,"Dragon, Field","50% male, 50% female","20 (4,884–5,140 steps)"
31,Arbok, ,Poison ,448,60,95,69,65,79,80,Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs),1. Intimidate2. Shed SkinUnnerve (hidden ability),2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),157,Medium Fast,"Dragon, Field","50% male, 50% female","20 (4,884–5,140 steps)"
32,Pikachu, ,Electric ,320,35,55,40,50,50,90,Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),1. StaticLightning Rod (hidden ability),2 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),112,Medium Fast,"Fairy, Field","50% male, 50% female","10 (2,314–2,570 steps)"
33,Pikachu,Partner Pikachu,Electric ,430,45,80,50,75,60,120,Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),1. StaticLightning Rod (hidden ability),2 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),112,Medium Fast,"Fairy, Field","50% male, 50% female","10 (2,314–2,570 steps)"
34,Raichu, ,Electric ,485,60,90,55,90,80,110,Mouse Pokémon,0.8 m (2′07″),30.0 kg (66.1 lbs),1. StaticLightning Rod (hidden ability),3 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),218,Medium Fast,"Fairy, Field","50% male, 50% female","10 (2,314–2,570 steps)"
35,Raichu,Alolan Raichu,Electric Psychic,485,60,85,50,95,85,110,Mouse Pokémon,0.8 m (2′07″),30.0 kg (66.1 lbs),1. StaticLightning Rod (hidden ability),3 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),218,Medium Fast,"Fairy, Field","50% male, 50% female","10 (2,314–2,570 steps)"
36,Sandshrew, ,Ground ,300,50,75,85,20,30,40,Mouse Pokémon,0.6 m (2′00″),12.0 kg (26.5 lbs),1. Sand VeilSand Rush (hidden ability),1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
37,Sandshrew,Alolan Sandshrew,Ice Steel,300,50,75,90,10,35,40,Mouse Pokémon,0.6 m (2′00″),12.0 kg (26.5 lbs),1. Sand VeilSand Rush (hidden ability),1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
38,Sandslash, ,Ground ,450,75,100,110,45,55,65,Mouse Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),1. Sand VeilSand Rush (hidden ability),2 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),158,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
39,Sandslash,Alolan Sandslash,Ice Steel,450,75,100,120,25,65,65,Mouse Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),1. Sand VeilSand Rush (hidden ability),2 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),158,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
40,Nidoran♀, ,Poison ,275,55,47,52,40,40,41,Poison Pin Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),1. Poison Point2. RivalryHustle (hidden ability),1 HP,"235 (30.7% with PokéBall, full HP)",50 (normal),55,Medium Slow,"Field, Monster","0% male, 100% female","20 (4,884–5,140 steps)"
41,Nidorina, ,Poison ,365,70,62,67,55,55,56,Poison Pin Pokémon,0.8 m (2′07″),20.0 kg (44.1 lbs),1. Poison Point2. RivalryHustle (hidden ability),2 HP,"120 (15.7% with PokéBall, full HP)",50 (normal),128,Medium Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)"
42,Nidoqueen, ,Poison Ground,505,90,92,87,75,85,76,Drill Pokémon,1.3 m (4′03″),60.0 kg (132.3 lbs),1. Poison Point2. RivalrySheer Force (hidden ability),3 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),227,Medium Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)"
43,Nidoran♂, ,Poison ,273,46,57,40,40,40,50,Poison Pin Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),1. Poison Point2. RivalryHustle (hidden ability),1 Attack,"235 (30.7% with PokéBall, full HP)",50 (normal),55,Medium Slow,"Field, Monster","100% male, 0% female","20 (4,884–5,140 steps)"
44,Nidorino, ,Poison ,365,61,72,57,55,55,65,Poison Pin Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),1. Poison Point2. RivalryHustle (hidden ability),2 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),128,Medium Slow,"Field, Monster","100% male, 0% female","20 (4,884–5,140 steps)"
45,Nidoking, ,Poison Ground,505,81,102,77,85,75,85,Drill Pokémon,1.4 m (4′07″),62.0 kg (136.7 lbs),1. Poison Point2. RivalrySheer Force (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),227,Medium Slow,"Field, Monster","100% male, 0% female","20 (4,884–5,140 steps)"
46,Clefairy, ,Fairy ,323,70,45,48,60,65,35,Fairy Pokémon,0.6 m (2′00″),7.5 kg (16.5 lbs),1. Cute Charm2. Magic GuardFriend Guard (hidden ability),2 HP,"150 (19.6% with PokéBall, full HP)",140 (higher than normal),113,Fast,Fairy,"25% male, 75% female","10 (2,314–2,570 steps)"
47,Clefable, ,Fairy ,483,95,70,73,95,90,60,Fairy Pokémon,1.3 m (4′03″),40.0 kg (88.2 lbs),1. Cute Charm2. Magic GuardUnaware (hidden ability),3 HP,"25 (3.3% with PokéBall, full HP)",140 (higher than normal),217,Fast,Fairy,"25% male, 75% female","10 (2,314–2,570 steps)"
48,Vulpix, ,Fire ,299,38,41,40,50,65,65,Fox Pokémon,0.6 m (2′00″),9.9 kg (21.8 lbs),1. Flash FireDrought (hidden ability),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),60,Medium Fast,Field,"25% male, 75% female","20 (4,884–5,140 steps)"
49,Vulpix,Alolan Vulpix,Ice ,299,38,41,40,50,65,65,Fox Pokémon,0.6 m (2′00″),9.9 kg (21.8 lbs),1. Flash FireDrought (hidden ability),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),60,Medium Fast,Field,"25% male, 75% female","20 (4,884–5,140 steps)"
50,Ninetales, ,Fire ,505,73,76,75,81,100,100,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs),1. Flash FireDrought (hidden ability),"1 Special Defense, 1 Speed","75 (9.8% with PokéBall, full HP)",50 (normal),177,Medium Fast,Field,"25% male, 75% female","20 (4,884–5,140 steps)"
51,Ninetales,Alolan Ninetales,Ice Fairy,505,73,67,75,81,100,109,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs),1. Flash FireDrought (hidden ability),"1 Special Defense, 1 Speed","75 (9.8% with PokéBall, full HP)",50 (normal),177,Medium Fast,Field,"25% male, 75% female","20 (4,884–5,140 steps)"
52,Jigglypuff, ,Normal Fairy,270,115,45,20,45,25,20,Balloon Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),1. Cute Charm2. CompetitiveFriend Guard (hidden ability),2 HP,"170 (22.2% with PokéBall, full HP)",50 (normal),95,Fast,Fairy,"25% male, 75% female","10 (2,314–2,570 steps)"
53,Wigglytuff, ,Normal Fairy,435,140,70,45,85,50,45,Balloon Pokémon,1.0 m (3′03″),12.0 kg (26.5 lbs),1. Cute Charm2. CompetitiveFrisk (hidden ability),3 HP,"50 (6.5% with PokéBall, full HP)",50 (normal),196,Fast,Fairy,"25% male, 75% female","10 (2,314–2,570 steps)"
54,Zubat, ,Poison Flying,245,40,45,35,30,40,55,Bat Pokémon,0.8 m (2′07″),7.5 kg (16.5 lbs),1. Inner FocusInfiltrator (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),49,Medium Fast,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
55,Golbat, ,Poison Flying,455,75,80,70,65,75,90,Bat Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),1. Inner FocusInfiltrator (hidden ability),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),159,Medium Fast,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
56,Oddish, ,Grass Poison,320,45,50,55,75,65,30,Weed Pokémon,0.5 m (1′08″),5.4 kg (11.9 lbs),1. ChlorophyllRun Away (hidden ability),1 Special Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),64,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)"
57,Gloom, ,Grass Poison,395,60,65,70,85,75,40,Weed Pokémon,0.8 m (2′07″),8.6 kg (19.0 lbs),1. ChlorophyllStench (hidden ability),2 Special Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),138,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)"
58,Vileplume, ,Grass Poison,490,75,80,85,110,90,50,Flower Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs),1. ChlorophyllEffect Spore (hidden ability),3 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),221,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)"
59,Paras, ,Bug Grass,285,35,70,55,45,55,25,Mushroom Pokémon,0.3 m (1′00″),5.4 kg (11.9 lbs),1. Effect Spore2. Dry SkinDamp (hidden ability),1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),57,Medium Fast,"Bug, Grass","50% male, 50% female","20 (4,884–5,140 steps)"
60,Parasect, ,Bug Grass,405,60,95,80,60,80,30,Mushroom Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),1. Effect Spore2. Dry SkinDamp (hidden ability),"2 Attack, 1 Defense","75 (9.8% with PokéBall, full HP)",50 (normal),142,Medium Fast,"Bug, Grass","50% male, 50% female","20 (4,884–5,140 steps)"
61,Venonat, ,Bug Poison,305,60,55,50,40,55,45,Insect Pokémon,1.0 m (3′03″),30.0 kg (66.1 lbs),1. Compound Eyes2. Tinted LensRun Away (hidden ability),1 Special Defense,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)"
62,Venomoth, ,Bug Poison,450,70,65,60,90,75,90,Poison Moth Pokémon,1.5 m (4′11″),12.5 kg (27.6 lbs),1. Shield Dust2. Tinted LensWonder Skin (hidden ability),"1 Special Attack, 1 Speed","75 (9.8% with PokéBall, full HP)",50 (normal),158,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)"
63,Diglett, ,Ground ,265,10,55,25,35,45,95,Mole Pokémon,0.2 m (0′08″),0.8 kg (1.8 lbs),1. Sand Veil2. Arena TrapSand Force (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),53,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
64,Diglett,Alolan Diglett,Ground Steel,265,10,55,30,35,45,90,Mole Pokémon,0.2 m (0′08″),0.8 kg (1.8 lbs),1. Sand Veil2. Arena TrapSand Force (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),53,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
65,Dugtrio, ,Ground ,425,35,100,50,50,70,120,Mole Pokémon,0.7 m (2′04″),33.3 kg (73.4 lbs),1. Sand Veil2. Arena TrapSand Force (hidden ability),2 Speed,"50 (6.5% with PokéBall, full HP)",50 (normal),149,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
66,Dugtrio,Alolan Dugtrio,Ground Steel,425,35,100,60,50,70,110,Mole Pokémon,0.7 m (2′04″),33.3 kg (73.4 lbs),1. Sand Veil2. Arena TrapSand Force (hidden ability),2 Speed,"50 (6.5% with PokéBall, full HP)",50 (normal),149,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
67,Meowth, ,Normal ,290,40,45,35,40,40,90,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),1. Pickup2. TechnicianUnnerve (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
68,Meowth,Alolan Meowth,Dark ,290,40,35,35,50,40,90,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),1. Pickup2. TechnicianUnnerve (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
69,Meowth,Galarian Meowth,Steel ,290,50,65,55,40,40,40,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),1. Pickup2. TechnicianUnnerve (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
70,Persian, ,Normal ,440,65,70,60,65,65,115,Classy Cat Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs),1. Limber2. TechnicianUnnerve (hidden ability),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),154,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
71,Persian,Alolan Persian,Dark ,440,65,60,60,75,65,115,Classy Cat Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs),1. Limber2. TechnicianUnnerve (hidden ability),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),154,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
72,Psyduck, ,Water ,320,50,52,48,65,50,55,Duck Pokémon,0.8 m (2′07″),19.6 kg (43.2 lbs),1. Damp2. Cloud NineSwift Swim (hidden ability),1 Special Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),64,Medium Fast,"Field, Water 1","50% male, 50% female","20 (4,884–5,140 steps)"
73,Golduck, ,Water ,500,80,82,78,95,80,85,Duck Pokémon,1.7 m (5′07″),76.6 kg (168.9 lbs),1. Damp2. Cloud NineSwift Swim (hidden ability),2 Special Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,"Field, Water 1","50% male, 50% female","20 (4,884–5,140 steps)"
74,Mankey, ,Fighting ,305,40,80,35,35,45,70,Pig Monkey Pokémon,0.5 m (1′08″),28.0 kg (61.7 lbs),1. Vital Spirit2. Anger PointDefiant (hidden ability),1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
75,Primeape, ,Fighting ,455,65,105,60,60,70,95,Pig Monkey Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs),1. Vital Spirit2. Anger PointDefiant (hidden ability),2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),159,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
76,Growlithe, ,Fire ,350,55,70,45,70,50,60,Puppy Pokémon,0.7 m (2′04″),19.0 kg (41.9 lbs),1. Intimidate2. Flash FireJustified (hidden ability),1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),70,Slow,Field,"75% male, 25% female","20 (4,884–5,140 steps)"
77,Arcanine, ,Fire ,555,90,110,80,100,80,95,Legendary Pokémon,1.9 m (6′03″),155.0 kg (341.7 lbs),1. Intimidate2. Flash FireJustified (hidden ability),2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),194,Slow,Field,"75% male, 25% female","20 (4,884–5,140 steps)"
78,Poliwag, ,Water ,300,40,50,40,40,40,90,Tadpole Pokémon,0.6 m (2′00″),12.4 kg (27.3 lbs),1. Water Absorb2. DampSwift Swim (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Slow,Water 1,"50% male, 50% female","20 (4,884–5,140 steps)"
79,Poliwhirl, ,Water ,385,65,65,65,50,50,90,Tadpole Pokémon,1.0 m (3′03″),20.0 kg (44.1 lbs),1. Water Absorb2. DampSwift Swim (hidden ability),2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),135,Medium Slow,Water 1,"50% male, 50% female","20 (4,884–5,140 steps)"
80,Poliwrath, ,Water Fighting,510,90,95,95,70,90,70,Tadpole Pokémon,1.3 m (4′03″),54.0 kg (119.0 lbs),1. Water Absorb2. DampSwift Swim (hidden ability),3 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),230,Medium Slow,Water 1,"50% male, 50% female","20 (4,884–5,140 steps)"
81,Abra, ,Psychic ,310,25,20,15,105,55,90,Psi Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),1. Synchronize2. Inner FocusMagic Guard (hidden ability),1 Special Attack,"200 (26.1% with PokéBall, full HP)",50 (normal),62,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)"
82,Kadabra, ,Psychic ,400,40,35,30,120,70,105,Psi Pokémon,1.3 m (4′03″),56.5 kg (124.6 lbs),1. Synchronize2. Inner FocusMagic Guard (hidden ability),2 Special Attack,"100 (13.1% with PokéBall, full HP)",50 (normal),140,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)"
